analog_id,display_name,role,priority,edited_region,head_variant,core_variant,linker_variant,tail_variant,hypothesis,expected_effect
vamifeport,P0 Parent vamifeport,reference,1,none,parent,parent,parent,parent,Benchmark reference scaffold,Expected to reproduce the validated parent behavior across WT and mutants
H1_desfluoro,H1 Des-fluoro headgroup,candidate,2,headgroup,desfluoro,parent,parent,parent,Tests whether the headgroup fluorine is a hard binding requirement,May relax headgroup electronics and reduce lipophilicity with minimal shape change
H2_pyrimidyl,H2 Aza-aryl headgroup,candidate,3,headgroup,aza_pyrimidyl,parent,parent,parent,Adds one ring nitrogen in the headgroup as a polar bioisostere,May improve accommodation in rewired or more polar mutant environments
H3_regiofluoro,H3 Fluoropyridyl regioisomer,candidate,4,headgroup,fluoro_regio,parent,parent,parent,Repositions the headgroup nitrogen and fluorine pattern without changing gross size,Tests whether headgroup vector geometry is tightly constrained
T1_benzoxazole,T1 Benzoxazole tail,candidate,5,tail,parent,parent,parent,benzoxazole,Replaces the distal benzimidazole with an oxygen isostere and removes the donor,Tests whether distal donor removal is tolerated while preserving fused aromatic size
T2_benzothiazole,T2 Benzothiazole tail,candidate,6,tail,parent,parent,parent,benzothiazole,Introduces a softer sulfur-containing fused heteroaryl as a distal bioisostere,Tests whether a slightly more hydrophobic tail is better tolerated near C326Y
T3_n_methyl_benzimidazole,T3 N-methyl benzimidazole tail,candidate,7,tail,parent,parent,parent,n_methyl_benzimidazole,Blocks the distal benzimidazole NH donor without changing the ring family,Direct donor-removal control at the parent fused tail
T4_aza_benzimidazole,T4 Aza-benzimidazole tail,candidate,8,tail,parent,parent,parent,aza_benzimidazole,Adds one ring nitrogen in the distal fused heteroaryl,Tests whether extra distal polarity helps mutant tolerance especially for C326Y
L1_tertiary_amine,L1 Tertiary linker amine,candidate,9,linker,parent,parent,tertiary_amine,parent,Removes the linker NH donor while keeping a cationic center,Tests whether the protonated linker acts mainly as a charge anchor rather than a donor
C1_thiazole_core,C1 Thiazole core,candidate,10,core,parent,thiazole,parent,parent,Core oxygen-to-sulfur isosteric swap,High-risk test of whether the central heteroaryl electronics can shift without losing pose logic
